id,video_path,frame_dir,seg_dir,ground_truth
07December_2010_Tuesday_tagesschau_default-13,video/test/07December_2010_Tuesday_tagesschau_default-13/07December_2010_Tuesday_tagesschau_default-13.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/07December_2010_Tuesday_tagesschau_default-13/1,CSLR-IIGA/segmentation/test/07December_2010_Tuesday_tagesschau_default-13,HAUPTSAECHLICH STARK WIND FREITAG SUEDWEST SCHNEE REGEN TIEF WEST AUCH HABEN REGEN
07December_2011_Wednesday_heute_default-3,video/test/07December_2011_Wednesday_heute_default-3/07December_2011_Wednesday_heute_default-3.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/07December_2011_Wednesday_heute_default-3/1,CSLR-IIGA/segmentation/test/07December_2011_Wednesday_heute_default-3,HUNDERT VIERZIG KILOMETER PRO STUNDE STURM SCHNELL __OFF__
07December_2011_Wednesday_heute_default-8,video/test/07December_2011_Wednesday_heute_default-8/07December_2011_Wednesday_heute_default-8.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/07December_2011_Wednesday_heute_default-8/1,CSLR-IIGA/segmentation/test/07December_2011_Wednesday_heute_default-8,__ON__ HEUTE NACHT NOCH STURM MITTE SUED DAZU SCHNEE REGEN
07February_2010_Sunday_tagesschau_default-7,video/test/07February_2010_Sunday_tagesschau_default-7/07February_2010_Sunday_tagesschau_default-7.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/07February_2010_Sunday_tagesschau_default-7/1,CSLR-IIGA/segmentation/test/07February_2010_Sunday_tagesschau_default-7,KLAR UEBER ZEHN MINUS SUEDWEST NULL OST MINUS SIEBEN MOEGLICH
07February_2011_Monday_heute_default-0,video/test/07February_2011_Monday_heute_default-0/07February_2011_Monday_heute_default-0.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/07February_2011_Monday_heute_default-0/1,CSLR-IIGA/segmentation/test/07February_2011_Monday_heute_default-0,__ON__ GUT ABEND LIEB ZUSCHAUER SONNE VORBEI DANN KOMMEN MEHR REGEN MORGEN IX FLUSS AUCH MEHR WOLKE
07February_2011_Monday_heute_default-10,video/test/07February_2011_Monday_heute_default-10/07February_2011_Monday_heute_default-10.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/07February_2011_Monday_heute_default-10/1,CSLR-IIGA/segmentation/test/07February_2011_Monday_heute_default-10,KLAR LUFT VON NORD SEE WEHEN MITTWOCH AUCH SCHOEN KLAR SONNE GUT
07February_2011_Monday_tagesschau_default-4,video/test/07February_2011_Monday_tagesschau_default-4/07February_2011_Monday_tagesschau_default-4.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/07February_2011_Monday_tagesschau_default-4/1,CSLR-IIGA/segmentation/test/07February_2011_Monday_tagesschau_default-4,TAG SUED FREUNDLICH SONNE NORD AUCH BISSCHEN WOLKE BISSCHEN MEHR SONNE
07June_2010_Monday_tagesschau_default-6,video/test/07June_2010_Monday_tagesschau_default-6/07June_2010_Monday_tagesschau_default-6.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/07June_2010_Monday_tagesschau_default-6/1,CSLR-IIGA/segmentation/test/07June_2010_Monday_tagesschau_default-6,HAUPTSAECHLICH POSITION KOENNEN STARK REGEN HAGEL STURM
07May_2011_Saturday_tagesschau_default-6,video/test/07May_2011_Saturday_tagesschau_default-6/07May_2011_Saturday_tagesschau_default-6.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/07May_2011_Saturday_tagesschau_default-6/1,CSLR-IIGA/segmentation/test/07May_2011_Saturday_tagesschau_default-6,BRANDENBURG REGION NORD BAYERN SUEDWEST KOENNEN WOLKE __OFF__
07October_2010_Thursday_heute_default-6,video/test/07October_2010_Thursday_heute_default-6/07October_2010_Thursday_heute_default-6.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/07October_2010_Thursday_heute_default-6/1,CSLR-IIGA/segmentation/test/07October_2010_Thursday_heute_default-6,IX REGION ZWISCHEN ACHTZEHN ZWISCHEN DREI ZWANZIG IX OST NUR ZWOELF ZWISCHEN SIEBZEHN GRAD
07October_2010_Thursday_tagesschau_default-0,video/test/07October_2010_Thursday_tagesschau_default-0/07October_2010_Thursday_tagesschau_default-0.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/07October_2010_Thursday_tagesschau_default-0/1,CSLR-IIGA/segmentation/test/07October_2010_Thursday_tagesschau_default-0,__ON__ JETZT WETTER WIE-AUSSEHEN MORGEN FREITAG ACHTE OKTOBER __OFF__
07October_2010_Thursday_tagesschau_default-10,video/test/07October_2010_Thursday_tagesschau_default-10/07October_2010_Thursday_tagesschau_default-10.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/07October_2010_Thursday_tagesschau_default-10/1,CSLR-IIGA/segmentation/test/07October_2010_Thursday_tagesschau_default-10,RUHIG TROCKEN FREUNDLICH NAECHSTE BLEIBEN __OFF__
07October_2010_Thursday_tagesschau_default-4,video/test/07October_2010_Thursday_tagesschau_default-4/07October_2010_Thursday_tagesschau_default-4.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/07October_2010_Thursday_tagesschau_default-4/1,CSLR-IIGA/segmentation/test/07October_2010_Thursday_tagesschau_default-4,BESONDERS IX NORD HEUTE NACHT MEISTENS WOLKE WAHRSCHEINLICH REGEN SUED VIEL NEBEL HOCH NEBEL
07October_2010_Thursday_tagesschau_default-5,video/test/07October_2010_Thursday_tagesschau_default-5/07October_2010_Thursday_tagesschau_default-5.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/07October_2010_Thursday_tagesschau_default-5/1,CSLR-IIGA/segmentation/test/07October_2010_Thursday_tagesschau_default-5,MORGEN STARK NEBEL IX NORDOST MEISTENS WOLKE
07October_2010_Thursday_tagesschau_default-9,video/test/07October_2010_Thursday_tagesschau_default-9/07October_2010_Thursday_tagesschau_default-9.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/07October_2010_Thursday_tagesschau_default-9/1,CSLR-IIGA/segmentation/test/07October_2010_Thursday_tagesschau_default-9,HEUTE NACHT ALLGAEU IX NORD VIER GRAD FLUSS DANN NORD DREIZEHN __OFF__
07October_2012_Sunday_tagesschau_default-8,video/test/07October_2012_Sunday_tagesschau_default-8/07October_2012_Sunday_tagesschau_default-8.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/07October_2012_Sunday_tagesschau_default-8/1,CSLR-IIGA/segmentation/test/07October_2012_Sunday_tagesschau_default-8,__ON__ REGION HEUTE NACHT STURM MORGEN LEICHT MAESSIG WIND NORDWEST FRISCH WEHEN __OFF__
07September_2010_Tuesday_tagesschau_default-0,video/test/07September_2010_Tuesday_tagesschau_default-0/07September_2010_Tuesday_tagesschau_default-0.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/07September_2010_Tuesday_tagesschau_default-0/1,CSLR-IIGA/segmentation/test/07September_2010_Tuesday_tagesschau_default-0,__ON__ JETZT WETTER WIE-AUSSEHEN MORGEN MITTWOCH ACHTE SEPTEMBER __OFF__
07September_2010_Tuesday_tagesschau_default-10,video/test/07September_2010_Tuesday_tagesschau_default-10/07September_2010_Tuesday_tagesschau_default-10.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/07September_2010_Tuesday_tagesschau_default-10/1,CSLR-IIGA/segmentation/test/07September_2010_Tuesday_tagesschau_default-10,__ON__ NORD  NORD FRISCH IX WEHEN IX WEHEN IM-VERLAUF SPAETER NORD STARK WEHEN __OFF__
08April_2010_Thursday_tagesschau_default-10,video/test/08April_2010_Thursday_tagesschau_default-10/08April_2010_Thursday_tagesschau_default-10.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08April_2010_Thursday_tagesschau_default-10/1,CSLR-IIGA/segmentation/test/08April_2010_Thursday_tagesschau_default-10,MORGEN NEUN GRAD IX MAXIMAL SIEBZEHN GRAD REGION __OFF__
08April_2010_Thursday_tagesschau_default-12,video/test/08April_2010_Thursday_tagesschau_default-12/08April_2010_Thursday_tagesschau_default-12.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08April_2010_Thursday_tagesschau_default-12/1,CSLR-IIGA/segmentation/test/08April_2010_Thursday_tagesschau_default-12,MONTAG ANFANG AB LOS WECHSELHAFT KUEHL __OFF__
08April_2010_Thursday_tagesschau_default-3,video/test/08April_2010_Thursday_tagesschau_default-3/08April_2010_Thursday_tagesschau_default-3.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08April_2010_Thursday_tagesschau_default-3/1,CSLR-IIGA/segmentation/test/08April_2010_Thursday_tagesschau_default-3,DOCH WOLKE ABER REGEN WENIG __OFF__
08December_2009_Tuesday_heute_default-0,video/test/08December_2009_Tuesday_heute_default-0/08December_2009_Tuesday_heute_default-0.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08December_2009_Tuesday_heute_default-0/1,CSLR-IIGA/segmentation/test/08December_2009_Tuesday_heute_default-0,__ON__ GUT ABEND LIEB ZUSCHAUER BEGRUESSEN MORGEN TAG TRUEB __OFF__
08December_2009_Tuesday_tagesschau_default-3,video/test/08December_2009_Tuesday_tagesschau_default-3/08December_2009_Tuesday_tagesschau_default-3.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08December_2009_Tuesday_tagesschau_default-3/1,CSLR-IIGA/segmentation/test/08December_2009_Tuesday_tagesschau_default-3,__ON__ SUED OST NOCH REGEN BERG SCHNEE NORD REGION NACH MITTAG ANFANG REGEN __OFF__
08February_2010_Monday_heute_default-1,video/test/08February_2010_Monday_heute_default-1/08February_2010_Monday_heute_default-1.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08February_2010_Monday_heute_default-1/1,CSLR-IIGA/segmentation/test/08February_2010_Monday_heute_default-1,TRUEB DIESE BILD WEST KAUM SCHNEE AUFTAUCHEN ABER AUSNAHME ACHTUNG MEER SONNE DA SCHNEE
08February_2010_Monday_heute_default-2,video/test/08February_2010_Monday_heute_default-2/08February_2010_Monday_heute_default-2.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08February_2010_Monday_heute_default-2/1,CSLR-IIGA/segmentation/test/08February_2010_Monday_heute_default-2,WEST MEHR MILD MINUS VIER BIS MINUS SIEBEN BEKOMMEN BISSCHEN NEBEL KLAR
08February_2010_Monday_tagesschau_default-2,video/test/08February_2010_Monday_tagesschau_default-2/08February_2010_Monday_tagesschau_default-2.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08February_2010_Monday_tagesschau_default-2/1,CSLR-IIGA/segmentation/test/08February_2010_Monday_tagesschau_default-2,__ON__ MORGEN ERWARTEN NOCHEINMAL RUHIG WETTER IX TROCKEN WINTER
08January_2010_Friday_tagesschau_default-5,video/test/08January_2010_Friday_tagesschau_default-5/08January_2010_Friday_tagesschau_default-5.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08January_2010_Friday_tagesschau_default-5/1,CSLR-IIGA/segmentation/test/08January_2010_Friday_tagesschau_default-5,__ON__ SUED WIND MAESSIG NORD WIND STARK EIN-PAAR WIND NORD MEER WIE ORKAN MOEGLICH __OFF__
08July_2010_Thursday_tagesschau_default-14,video/test/08July_2010_Thursday_tagesschau_default-14/08July_2010_Thursday_tagesschau_default-14.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08July_2010_Thursday_tagesschau_default-14/1,CSLR-IIGA/segmentation/test/08July_2010_Thursday_tagesschau_default-14,OST MEISTENS SONNE MONTAG IN-KOMMEND AUCH SONNE ABER SCHWER GEWITTER DABEI __OFF__
08July_2010_Thursday_tagesschau_default-5,video/test/08July_2010_Thursday_tagesschau_default-5/08July_2010_Thursday_tagesschau_default-5.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08July_2010_Thursday_tagesschau_default-5/1,CSLR-IIGA/segmentation/test/08July_2010_Thursday_tagesschau_default-5,BISSCHEN WENIG WOLKE REGION IX REGION SONNE __OFF__
08July_2011_Friday_tagesschau_default-2,video/test/08July_2011_Friday_tagesschau_default-2/08July_2011_Friday_tagesschau_default-2.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08July_2011_Friday_tagesschau_default-2/1,CSLR-IIGA/segmentation/test/08July_2011_Friday_tagesschau_default-2,__ON__ SCHOTTLAND TIEF KOMMEN MORGEN REGION SUEDOST AUCH WARM
08July_2011_Friday_tagesschau_default-3,video/test/08July_2011_Friday_tagesschau_default-3/08July_2011_Friday_tagesschau_default-3.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08July_2011_Friday_tagesschau_default-3/1,CSLR-IIGA/segmentation/test/08July_2011_Friday_tagesschau_default-3,NACHT SUED ENORM GEWITTER __OFF__
08June_2010_Tuesday_tagesschau_default-11,video/test/08June_2010_Tuesday_tagesschau_default-11/08June_2010_Tuesday_tagesschau_default-11.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08June_2010_Tuesday_tagesschau_default-11/1,CSLR-IIGA/segmentation/test/08June_2010_Tuesday_tagesschau_default-11,DONNERSTAG FREITAG WETTER BLEIBEN  HEUTE FEUCHT WARM HEISS ENORM MOEGLICH GEWITTER AUCH STARK 
08June_2010_Tuesday_tagesschau_default-3,video/test/08June_2010_Tuesday_tagesschau_default-3/08June_2010_Tuesday_tagesschau_default-3.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08June_2010_Tuesday_tagesschau_default-3/1,CSLR-IIGA/segmentation/test/08June_2010_Tuesday_tagesschau_default-3,GEWITTER SUEDOST DEUTSCH LAND BLEIBEN LANG IM-VERLAUF GUT IM-VERLAUF MOEGLICH GEWITTER 
08June_2010_Tuesday_tagesschau_default-5,video/test/08June_2010_Tuesday_tagesschau_default-5/08June_2010_Tuesday_tagesschau_default-5.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08June_2010_Tuesday_tagesschau_default-5/1,CSLR-IIGA/segmentation/test/08June_2010_Tuesday_tagesschau_default-5,NORDWEST MORGEN WECHSEL SONNE WOLKE DAZU  STARK REGEN NACH MITTAG GEWITTER
08May_2010_Saturday_tagesschau_default-2,video/test/08May_2010_Saturday_tagesschau_default-2/08May_2010_Saturday_tagesschau_default-2.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08May_2010_Saturday_tagesschau_default-2/1,CSLR-IIGA/segmentation/test/08May_2010_Saturday_tagesschau_default-2,__ON__ DEUTSCH LAND SCHWACH DRUCK UNTERSCHIED REGION FEUCHT REGION IX GEWITTER REGION
08November_2010_Monday_heute_default-0,video/test/08November_2010_Monday_heute_default-0/08November_2010_Monday_heute_default-0.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08November_2010_Monday_heute_default-0/1,CSLR-IIGA/segmentation/test/08November_2010_Monday_heute_default-0,__ON__ ABEND LIEB ZUSCHAUER EUCH EUROPA REGION WETTER UNTERSCHIED STURM REGEN SCHNEE
08November_2010_Monday_tagesschau_default-14,video/test/08November_2010_Monday_tagesschau_default-14/08November_2010_Monday_tagesschau_default-14.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08November_2010_Monday_tagesschau_default-14/1,CSLR-IIGA/segmentation/test/08November_2010_Monday_tagesschau_default-14,__ON__ MITTWOCH SUEDWEST REGEN REGION IX FREUNDLICH SONNE __OFF__
08November_2010_Monday_tagesschau_default-2,video/test/08November_2010_Monday_tagesschau_default-2/08November_2010_Monday_tagesschau_default-2.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08November_2010_Monday_tagesschau_default-2/1,CSLR-IIGA/segmentation/test/08November_2010_Monday_tagesschau_default-2,__ON__ E REGION IN-KOMMEND ZWEI-TAG WETTER STARK TIEF KOMMEN __OFF__
08October_2009_Thursday_tagesschau_default-0,video/test/08October_2009_Thursday_tagesschau_default-0/08October_2009_Thursday_tagesschau_default-0.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08October_2009_Thursday_tagesschau_default-0/1,CSLR-IIGA/segmentation/test/08October_2009_Thursday_tagesschau_default-0,__ON__ MORGEN WETTER WIE-AUSSEHEN FREITAG NEUN OKTOBER __OFF__
08October_2009_Thursday_tagesschau_default-13,video/test/08October_2009_Thursday_tagesschau_default-13/08October_2009_Thursday_tagesschau_default-13.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08October_2009_Thursday_tagesschau_default-13/1,CSLR-IIGA/segmentation/test/08October_2009_Thursday_tagesschau_default-13,__ON__ TAG TEMPERATUR ZWOELF GRAD NORDOST BIS ZWANZIG GRAD B REGION __OFF__
08October_2009_Thursday_tagesschau_default-14,video/test/08October_2009_Thursday_tagesschau_default-14/08October_2009_Thursday_tagesschau_default-14.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08October_2009_Thursday_tagesschau_default-14/1,CSLR-IIGA/segmentation/test/08October_2009_Thursday_tagesschau_default-14,__ON__ SAMSTAG DANN REGEN KOMMEN __OFF__ __ON__ OST ERSTMAL FREUNDLICH WEST KOMMEN LOCH SONNE DA __OFF__
08October_2009_Thursday_tagesschau_default-9,video/test/08October_2009_Thursday_tagesschau_default-9/08October_2009_Thursday_tagesschau_default-9.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08October_2009_Thursday_tagesschau_default-9/1,CSLR-IIGA/segmentation/test/08October_2009_Thursday_tagesschau_default-9,__ON__ NORD HEUTE NACHT WIND MORGEN SCHWACH MAESSIG WEHEN __OFF__
08September_2010_Wednesday_tagesschau_default-11,video/test/08September_2010_Wednesday_tagesschau_default-11/08September_2010_Wednesday_tagesschau_default-11.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08September_2010_Wednesday_tagesschau_default-11/1,CSLR-IIGA/segmentation/test/08September_2010_Wednesday_tagesschau_default-11,SAMSTAG IX NOCH BISSCHEN REGEN SONST REGION FREUNDLICH TROCKEN
08September_2010_Wednesday_tagesschau_default-5,video/test/08September_2010_Wednesday_tagesschau_default-5/08September_2010_Wednesday_tagesschau_default-5.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/08September_2010_Wednesday_tagesschau_default-5/1,CSLR-IIGA/segmentation/test/08September_2010_Wednesday_tagesschau_default-5,S H  VOR POMMERN UND BRAND BURG MORGEN DURCHGEHEND REGEN SONST REGION WOLKE TEIL REGION SONNE
09August_2009_Sunday_tagesschau_default-11,video/test/09August_2009_Sunday_tagesschau_default-11/09August_2009_Sunday_tagesschau_default-11.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/09August_2009_Sunday_tagesschau_default-11/1,CSLR-IIGA/segmentation/test/09August_2009_Sunday_tagesschau_default-11,__ON__ WIND SCHWACH  __OFF__ __ON__ SUED WIND ZEIGEN-BILDSCHIRM __OFF__
09August_2010_Monday_heute_default-1,video/test/09August_2010_Monday_heute_default-1/09August_2010_Monday_heute_default-1.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/09August_2010_Monday_heute_default-1/1,CSLR-IIGA/segmentation/test/09August_2010_Monday_heute_default-1,RUSSLAND IX TROCKEN HEISS SCHEINEN FUENF DREISSIG BIS VIERZIG GRAD DIESE BLEIBEN BRAND WEITER 
09August_2010_Monday_heute_default-2,video/test/09August_2010_Monday_heute_default-2/09August_2010_Monday_heute_default-2.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/09August_2010_Monday_heute_default-2/1,CSLR-IIGA/segmentation/test/09August_2010_Monday_heute_default-2,HIER HEUTE NACHT SUEDOST FRISCH ZEHN ELF GRAD REGION DREIZEHN MAXIMAL FUENFZEHN
09February_2010_Tuesday_tagesschau_default-12,video/test/09February_2010_Tuesday_tagesschau_default-12/09February_2010_Tuesday_tagesschau_default-12.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/09February_2010_Tuesday_tagesschau_default-12/1,CSLR-IIGA/segmentation/test/09February_2010_Tuesday_tagesschau_default-12,SAMSTAG SCHNEE WENIG REGION MANCHMAL JA __OFF__
09July_2010_Friday_tagesschau_default-3,video/test/09July_2010_Friday_tagesschau_default-3/09July_2010_Friday_tagesschau_default-3.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/09July_2010_Friday_tagesschau_default-3/1,CSLR-IIGA/segmentation/test/09July_2010_Friday_tagesschau_default-3,ZUERST GEWITTER NUR WEST RISIKO JEDEN-TAG OST MEHR OST KOENNEN GEWITTER WEST
09June_2010_Wednesday_heute_default-6,video/test/09June_2010_Wednesday_heute_default-6/09June_2010_Wednesday_heute_default-6.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/09June_2010_Wednesday_heute_default-6/1,CSLR-IIGA/segmentation/test/09June_2010_Wednesday_heute_default-6,NACHT BLEIBEN WARM NACHT UNTER ZWANZIG GRAD NICHT-WAHRSCHEINLICH KAUM  __OFF__
09June_2010_Wednesday_tagesschau_default-3,video/test/09June_2010_Wednesday_tagesschau_default-3/09June_2010_Wednesday_tagesschau_default-3.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/09June_2010_Wednesday_tagesschau_default-3/1,CSLR-IIGA/segmentation/test/09June_2010_Wednesday_tagesschau_default-3,DAZU LUFT ENORM WARM FEUCHT KOENNEN GEWITTER DEUTSCH WETTER DIENST BEKANNTGEBEN MOEGLICH GEWITTER KOMMEN  __OFF__
09March_2011_Wednesday_heute_default-10,video/test/09March_2011_Wednesday_heute_default-10/09March_2011_Wednesday_heute_default-10.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/09March_2011_Wednesday_heute_default-10/1,CSLR-IIGA/segmentation/test/09March_2011_Wednesday_heute_default-10,__ON__ MORGEN BISSCHEN REGEN KOMMEN NORD NEU REGEN KOMMEN
09March_2011_Wednesday_heute_default-3,video/test/09March_2011_Wednesday_heute_default-3/09March_2011_Wednesday_heute_default-3.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/09March_2011_Wednesday_heute_default-3/1,CSLR-IIGA/segmentation/test/09March_2011_Wednesday_heute_default-3,SUEDOST REGION  VERSCHWINDEN LANGSAM IM-VERLAUF
09November_2010_Tuesday_heute_default-10,video/test/09November_2010_Tuesday_heute_default-10/09November_2010_Tuesday_heute_default-10.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/09November_2010_Tuesday_heute_default-10/1,CSLR-IIGA/segmentation/test/09November_2010_Tuesday_heute_default-10,DANN MOEGLICH AUCH MILD JETZT SCHOEN ABEND TSCHUESS __OFF__
09November_2010_Tuesday_tagesschau_default-12,video/test/09November_2010_Tuesday_tagesschau_default-12/09November_2010_Tuesday_tagesschau_default-12.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/09November_2010_Tuesday_tagesschau_default-12/1,CSLR-IIGA/segmentation/test/09November_2010_Tuesday_tagesschau_default-12,__ON__ HEUTE NACHT IX TEMPERATUR SECHS BIS EIN GRAD __OFF__
09September_2010_Thursday_tagesschau_default-4,video/test/09September_2010_Thursday_tagesschau_default-4/09September_2010_Thursday_tagesschau_default-4.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/09September_2010_Thursday_tagesschau_default-4/1,CSLR-IIGA/segmentation/test/09September_2010_Thursday_tagesschau_default-4,HOCH SAMSTAG SONNTAG FREUNDLICH SPAET SOMMER WETTER __OFF__ __ON__ HEUTE NACHT WOLKE MEHR WENIG  MAL SCHAUER
10August_2009_Monday_heute_default-12,video/test/10August_2009_Monday_heute_default-12/10August_2009_Monday_heute_default-12.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/10August_2009_Monday_heute_default-12/1,CSLR-IIGA/segmentation/test/10August_2009_Monday_heute_default-12,__ON__ DANN BIS VIER ZWANZIG GRAD REGION SUED REGION BIS SIEBEN ZWANZIG GRAD __OFF__
10August_2009_Monday_heute_default-5,video/test/10August_2009_Monday_heute_default-5/10August_2009_Monday_heute_default-5.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/10August_2009_Monday_heute_default-5/1,CSLR-IIGA/segmentation/test/10August_2009_Monday_heute_default-5,__ON__ HEUTE ABEND OST REGION REGEN GEWITTER KOENNEN WIND REGEN __OFF__
10August_2009_Monday_heute_default-9,video/test/10August_2009_Monday_heute_default-9/10August_2009_Monday_heute_default-9.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/10August_2009_Monday_heute_default-9/1,CSLR-IIGA/segmentation/test/10August_2009_Monday_heute_default-9,__ON__ ANKLICKEN TEXT ODER INTERNET ANSCHAUEN KOENNEN __OFF__
10August_2010_Tuesday_heute_default-4,video/test/10August_2010_Tuesday_heute_default-4/10August_2010_Tuesday_heute_default-4.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/10August_2010_Tuesday_heute_default-4/1,CSLR-IIGA/segmentation/test/10August_2010_Tuesday_heute_default-4,__ON__ REGEN HEUTE NACHT REGION KOMMEN UND AB ZWOELF UHR DAUER
